adju_geo_region_name,geo_dma_bespoke,adju_geo_city
CACERES,EXTREMADURA,CASAS_DEL_MONTE
CACERES,EXTREMADURA,CEREZO
CACERES,EXTREMADURA,OLIVA_DE_PLASENCIA
CACERES,EXTREMADURA,PESCUEZA
CACERES,EXTREMADURA,SERREJON
CASTELLON,VALENCIA,LES_COVES_DE_VINROMA
LAS_PALMAS,CANARIAS,GUIME
GIRONA,CATALUNA_,VILARNADAL
GRANADA,ANDALUCIA,GALERA
GUADALAJARA,CASTILLA_LA_MANCHA,ALMOGUERA
HUELVA,ANDALUCIA,BEAS
MADRID,MADRID,SEVILLA_LA_NUEVA
MADRID,MADRID,VILLAREJO_DE_SALVANES
MALAGA,ANDALUCIA,TORRE_DEL_MAR
ASTURIAS,ASTURIAS,ANDES
ORENSE,GALICIA,LAIOSO
CANTABRIA,CANTABRIA,RENEDO_DE_BRICIA
CANTABRIA,CANTABRIA,SELORES
SALAMANCA,CASTILLA_Y_LEON,MORASVERDES
SALAMANCA,CASTILLA_Y_LEON,MUNOZ
SEGOVIA,CASTILLA_Y_LEON,TORRE_VAL_DE_SAN_PEDRO
SORIA,CASTILLA_Y_LEON,VILLALBA
TERUEL,ARAGON,AGUAVIVA
SANTA_CRUZ_DE_TENERIFE,CANARIAS,EL_PALMAR
ZARAGOZA,ARAGON,FRESCANO
ZAMORA,CASTILLA_Y_LEON,RIEGO_DEL_CAMINO
ZAMORA,CASTILLA_Y_LEON,SANTA_COLOMBA_DE_LAS_CARABIAS
GUADALAJARA,CASTILLA_LA_MANCHA,ALCOCER
MADRID,MADRID,NUEVO_BAZTAN
ALICANTE,VALENCIA,ALICANTE
ALMERIA,ANDALUCIA,BAYARCAL
BARCELONA,CATALUNA_,LLICA_DAMUNT
BURGOS,CASTILLA_Y_LEON,AMEYUGO
CACERES,EXTREMADURA,HERGUIJUELA
CACERES,EXTREMADURA,TALAVAN
CIUDAD_REAL,CASTILLA_LA_MANCHA,SANTA_CRUZ_DE_LOS_CANAMOS
CUENCA,CASTILLA_LA_MANCHA,LAGUNASECA
GRANADA,ANDALUCIA,COJAYAR
GUADALAJARA,CASTILLA_LA_MANCHA,EL_SOTILLO
GUADALAJARA,CASTILLA_LA_MANCHA,PAREJA
LEON,CASTILLA_Y_LEON,LA_MATA_DEL_PARAMO
LEON,CASTILLA_Y_LEON,LA_VIRGEN_DEL_CAMINO
LEON,CASTILLA_Y_LEON,VEGUELLINA_DE_ORBIGO
LUGO,GALICIA,AS_OIRAS
NAVARRA,NAVARRA,SESMA
ASTURIAS,ASTURIAS,CORTINA
CANTABRIA,CANTABRIA,SOMAHOZ
CANTABRIA,CANTABRIA,VILLANUEVA
SALAMANCA,CASTILLA_Y_LEON,ROLLAN
SALAMANCA,CASTILLA_Y_LEON,VILVESTRE
SEGOVIA,CASTILLA_Y_LEON,CANTIMPALOS
SEGOVIA,CASTILLA_Y_LEON,HOYUELOS
SEGOVIA,CASTILLA_Y_LEON,MUNOVEROS
GUIPUZCOA,PAIS_VASCO,URNIETA
VALENCIA,VALENCIA,ROMA
VALENCIA,VALENCIA,XATIVA
VALLADOLID,CASTILLA_Y_LEON,LA_SECA
ZAMORA,CASTILLA_Y_LEON,SAMIR_DE_LOS_CANOS
VIZCAYA,PAIS_VASCO,BASETXETA
BARCELONA,CATALUNA_,CARDEDEU
BARCELONA,CATALUNA_,FOGARS_DE_LA_SELVA
BADAJOZ,EXTREMADURA,LA_CORONADA
BURGOS,CASTILLA_Y_LEON,NOCECO
CUENCA,CASTILLA_LA_MANCHA,VILLAR_DE_OLALLA
GIRONA,CATALUNA_,COLOMERS
JAEN,ANDALUCIA,EL_SABARIEGO
LEON,CASTILLA_Y_LEON,ORALLO
LA_RIOJA,LA_RIOJA,HARO
MURCIA,MURCIA,BLANCA
PALENCIA,CASTILLA_Y_LEON,REINOSO_DE_CERRATO
ISLAS_BALEARES,ISLAS_BALEARES,SAN_LUIS
ISLAS_BALEARES,ISLAS_BALEARES,SON_SERVERA
PONTEVEDRA,GALICIA,CHAPA
CANTABRIA,CANTABRIA,CAMESA
SEVILLA,ANDALUCIA,LEBRIJA
TARRAGONA,CATALUNA_,TARRAGONA
VALENCIA,VALENCIA,ALGAR_DE_PALANCIA
VALENCIA,VALENCIA,LLANERA_DE_RANES
